الرقم_الضريبي,السنة,القطاع,القسم_كود,القسم,المجموع_كود,المجموع,الفرع_كود,الفرع,المبيعات_جنيه,الإيرادات_جنيه,الموظفون,رأس_المال_المدفوع_جنيه,ضريبة_القيمة_المضافة_المتوقعة,ضريبة_القيمة_المضافة_المصرح_بها,branches,فئة_SME,start_year,اسم_الشركة,عمر_المنشأة,نمو_المبيعات,نمو_الموظفين,العائد_على_رأس_المال,المبيعات_جنيه_p,نمو_المبيعات_p,الموظفون_p,نمو_الموظفين_p,عمر_المنشأة_p,العائد_على_رأس_المال_p,branches_p,score
100013698,2021,الصناعة التحويلية,C1,,C10,,C1071,,156958783.0,152121223.0,30,11957925.0,21974230.0,20705606.0,1,medium,2009,الجيزة خدمات ذ.م.م,13,,,12.721372897053628,0.8605683836589698,0.5,0.6034635879218473,0.5,0.7619893428063943,0.5479573712255773,0.3663410301953819,6.2
100013698,2022,الصناعة التحويلية,C1,,C10,,C1071,,167620838.0,160733853.0,32,11957925.0,23466917.0,17398782.0,1,medium,2009,الجيزة خدمات ذ.م.م,14,0.06792901165651877,0.06666666666666665,13.441617421082672,0.8815126050420168,0.8210084033613445,0.6184873949579832,0.8382352941176471,0.776890756302521,0.5630252100840336,0.3668067226890756,6.97
100013698,2023,الصناعة التحويلية,C1,,C10,,C1071,,147289284.0,147680257.0,32,11957925.0,22539495.0,22227930.0,1,medium,2009,الجيزة خدمات ذ.م.م,15,-0.12129490725968095,0.0,12.349990236600414,0.8681229773462783,0.13673139158576053,0.61084142394822,0.4393203883495146,0.7860032362459547,0.5242718446601942,0.36650485436893204,5.71
100013698,2024,الصناعة التحويلية,C1,,C10,,C1071,,155875286.0,186452444.0,33,11957925.0,24702215.0,24025168.0,1,medium,2009,الجيزة خدمات ذ.م.م,16,0.058293460099921424,0.03125,15.592374429510137,0.862095531587057,0.2580893682588598,0.612095531587057,0.7195685670261941,0.7966101694915254,0.6224961479198767,0.36787365177195686,6.34
100013698,2025,الصناعة التحويلية,C1,,C10,,C1071,,159618318.0,161902994.0,30,11957925.0,24820524.0,21013395.0,1,medium,2009,الجيزة خدمات ذ.م.م,17,0.024012992027485414,-0.09090909090909094,13.539388648114116,0.853923853923854,0.46153846153846156,0.6048951048951049,0.07381507381507381,0.7948717948717948,0.5252525252525253,0.3686868686868687,5.78
100116684,2021,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,58923787.0,60845742.0,62,3936414.0,8249330.0,6308760.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,3,,,15.457150086347625,0.6411483253588517,0.5,0.8732057416267942,0.5,0.16148325358851676,0.3157894736842105,0.3827751196172249,4.75
100116684,2022,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,62315680.0,57213052.0,57,3936414.0,8724195.0,7115248.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,4,0.05756407000792407,-0.08064516129032262,14.534307621098797,0.6305309734513275,0.7654867256637168,0.8252212389380531,0.09734513274336283,0.22676991150442477,0.2809734513274336,0.3838495575221239,4.77
100116684,2023,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,64851484.0,65061615.0,59,3936414.0,9079208.0,9272781.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,5,0.04069287216315387,0.03508771929824572,16.528143381260204,0.6338912133891214,0.6129707112970711,0.8472803347280334,0.7416317991631799,0.2688284518828452,0.3200836820083682,0.3807531380753138,5.35
100116684,2024,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,66049188.0,70894469.0,65,3936414.0,9246886.0,8473840.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,6,0.018468413151501606,0.10169491525423724,18.009911813137542,0.6318897637795275,0.31299212598425197,0.8809055118110236,0.9094488188976378,0.31791338582677164,0.33858267716535434,0.37893700787401574,5.0
100116684,2025,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,65123452.0,61161474.0,65,3936414.0,9117283.0,8235227.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,7,-0.014015857394037878,0.0,15.537358113247235,0.6343873517786561,0.18379446640316205,0.883399209486166,0.41205533596837945,0.3181818181818182,0.2727272727272727,0.3794466403162055,3.98
