الرقم_الضريبي,السنة,CPI_index,نسبة_التضخم,القطاع,القسم_كود,القسم,المجموع_كود,المجموع,الفرع_كود,الفرع,المبيعات_جنيه,المبيعات_حقيقي,الإيرادات_جنيه,الموظفون,رأس_المال_المدفوع_جنيه,ضريبة_القيمة_المضافة_المتوقعة,ضريبة_القيمة_المضافة_المصرح_بها,branches,فئة_SME,start_year,اسم_الشركة,عمر_المنشأة,نمو_المبيعات,النمو_الحقيقي_للمبيعات,نمو_الموظفين,العائد_على_رأس_المال,المبيعات_جنيه_p,نمو_المبيعات_p,الموظفون_p,نمو_الموظفين_p,عمر_المنشأة_p,العائد_على_رأس_المال_p,branches_p,group_used,group_size_used,score
100013698,2021,0.420105,0.04285,الصناعة التحويلية,C1,,C10,,C1071,,156958783.0,373618088.353979,152121223.0,30,11957925.0,21974230.0,20705606.0,1,medium,2009,الجيزة خدمات ذ.م.م,13,,,,12.721372897053628,0.9166666666666666,0.5,0.5,0.5,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.78
100013698,2022,0.4506,0.07259,الصناعة التحويلية,C1,,C10,,C1071,,167620838.0,371994514.057434,160733853.0,32,11957925.0,23466917.0,17398782.0,1,medium,2009,الجيزة خدمات ذ.م.م,14,0.0679290116565187,-0.004346,0.0666666666666666,13.441617421082672,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,7.61
100013698,2023,0.594486,0.31932,الصناعة التحويلية,C1,,C10,,C1071,,147289284.0,247759053.128678,147680257.0,32,11957925.0,22539495.0,22227930.0,1,medium,2009,الجيزة خدمات ذ.م.م,15,-0.1212949072596809,-0.333971,0.0,12.349990236600414,0.9166666666666666,0.1666666666666666,0.5,0.5,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.38
100013698,2024,0.806777,0.3571,الصناعة التحويلية,C1,,C10,,C1071,,155875286.0,193207416.997,186452444.0,33,11957925.0,24702215.0,24025168.0,1,medium,2009,الجيزة خدمات ذ.م.م,16,0.0582934600999214,-0.22018,0.03125,15.592374429510135,0.9166666666666666,0.5,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.91
100013698,2025,1.0,0.2395,الصناعة التحويلية,C1,,C10,,C1071,,159618318.0,159618318.0,161902994.0,30,11957925.0,24820524.0,21013395.0,1,medium,2009,الجيزة خدمات ذ.م.م,17,0.0240129920274854,-0.17385,-0.0909090909090909,13.539388648114116,0.9166666666666666,0.3333333333333333,0.5,0.2083333333333333,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.35
100116684,2021,0.420105,0.04285,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,58923787.0,140259705.361738,60845742.0,62,3936414.0,8249330.0,6308760.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,3,,,,15.457150086347625,0.7142857142857143,0.5,0.8392857142857143,0.5,0.1964285714285714,0.2857142857142857,0.4107142857142857,class,28,4.82
100116684,2022,0.4506,0.07259,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,62315680.0,138294804.967856,57213052.0,57,3936414.0,8724195.0,7115248.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,4,0.057564070007924,-0.014009,-0.0806451612903226,14.534307621098796,0.65625,0.875,0.8125,0.09375,0.296875,0.21875,0.421875,class,32,4.99
100116684,2023,0.594486,0.31932,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,64851484.0,109088331.706668,65061615.0,59,3936414.0,9079208.0,9272781.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,5,0.0406928721631538,-0.21119,0.0350877192982457,16.528143381260204,0.696969696969697,0.5757575757575758,0.8181818181818182,0.8787878787878788,0.3181818181818182,0.2121212121212121,0.4242424242424242,class,33,5.35
100116684,2024,0.806777,0.3571,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,66049188.0,81867968.526,70894469.0,65,3936414.0,9246886.0,8473840.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,6,0.0184684131515016,-0.249526,0.1016949152542372,18.009911813137542,0.7058823529411765,0.3529411764705882,0.8823529411764706,0.9117647058823528,0.3676470588235294,0.2647058823529412,0.4264705882352941,class,34,5.13
100116684,2025,1.0,0.2395,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,65123452.0,65123452.0,61161474.0,65,3936414.0,9117283.0,8235227.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,7,-0.0140158573940378,-0.204531,0.0,15.537358113247237,0.7058823529411765,0.2647058823529412,0.8529411764705882,0.4411764705882353,0.3676470588235294,0.2352941176470588,0.4264705882352941,class,34,4.28
100149975,2021,0.420105,0.04285,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,3907612.0,9301515.325008,3648896.0,10,564733.0,547066.0,405536.0,1,small,2017,اللوتس كيماويات ش.م.م,5,,,,6.461276390789984,0.0238095238095238,0.5,0.4285714285714285,0.5,0.3214285714285714,0.1666666666666666,0.4761904761904761,class,42,3.59
100149975,2022,0.4506,0.07259,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5540669.0,12296194.773875,5923425.0,10,564733.0,775694.0,684197.0,1,small,2017,اللوتس كيماويات ش.م.م,6,0.4179168760869809,0.321956,0.0,10.488894752033262,0.0625,0.2291666666666666,0.4479166666666667,0.46875,0.40625,0.2291666666666666,0.46875,class,48,3.23
100149975,2023,0.594486,0.31932,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5502616.0,9256090.415177,5719916.0,11,564733.0,770366.0,764236.0,1,small,2017,اللوتس كيماويات ش.م.م,7,-0.0068679432032485,-0.247239,0.1,10.12853153614186,0.0392156862745098,0.1764705882352941,0.5196078431372549,0.7647058823529411,0.4411764705882353,0.2156862745098039,0.4607843137254901,class,51,3.53
100149975,2024,0.806777,0.3571,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5625891.0,6973291.8945,5543976.0,10,564733.0,787625.0,637413.0,1,small,2017,اللوتس كيماويات ش.م.م,8,0.0224029806913657,-0.246627,-0.0909090909090909,9.81698608014761,0.0377358490566037,0.3396226415094339,0.3867924528301887,0.0943396226415094,0.4622641509433962,0.2264150943396226,0.4528301886792453,class,53,2.9
100149975,2025,1.0,0.2395,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5785495.0,5785495.0,5509771.0,12,564733.0,809969.0,651229.0,1,small,2017,اللوتس كيماويات ش.م.م,9,0.0283695507076122,-0.170335,0.1999999999999999,9.756417634528177,0.0384615384615384,0.4423076923076923,0.5673076923076923,0.9903846153846154,0.4615384615384615,0.1923076923076923,0.4519230769230769,class,52,4.35
