الرقم_الضريبي,السنة,القطاع,القسم_كود,القسم,المجموع_كود,المجموع,الفرع_كود,الفرع,المبيعات_جنيه,الإيرادات_جنيه,الموظفون,رأس_المال_المدفوع_جنيه,ضريبة_القيمة_المضافة_المتوقعة,ضريبة_القيمة_المضافة_المصرح_بها,branches,فئة_SME,start_year,اسم_الشركة,عمر_المنشأة,نمو_المبيعات,نمو_الموظفين,العائد_على_رأس_المال,المبيعات_جنيه_p,نمو_المبيعات_p,الموظفون_p,نمو_الموظفين_p,عمر_المنشأة_p,العائد_على_رأس_المال_p,branches_p,group_used,group_size_used,score
100013698,2021,الصناعة التحويلية,C1,,C10,,C1071,,156958783.0,152121223.0,30,11957925.0,21974230.0,20705606.0,1,medium,2009,الجيزة خدمات ذ.م.م,13,,,12.721372897053628,0.9166666666666666,0.5,0.5,0.5,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.78
100013698,2022,الصناعة التحويلية,C1,,C10,,C1071,,167620838.0,160733853.0,32,11957925.0,23466917.0,17398782.0,1,medium,2009,الجيزة خدمات ذ.م.م,14,0.06792901165651877,0.06666666666666665,13.441617421082672,0.9166666666666666,0.9166666666666666,0.5416666666666666,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,7.61
100013698,2023,الصناعة التحويلية,C1,,C10,,C1071,,147289284.0,147680257.0,32,11957925.0,22539495.0,22227930.0,1,medium,2009,الجيزة خدمات ذ.م.م,15,-0.12129490725968095,0.0,12.349990236600414,0.9166666666666666,0.16666666666666666,0.5,0.5,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.38
100013698,2024,الصناعة التحويلية,C1,,C10,,C1071,,155875286.0,186452444.0,33,11957925.0,24702215.0,24025168.0,1,medium,2009,الجيزة خدمات ذ.م.م,16,0.058293460099921424,0.03125,15.592374429510137,0.9166666666666666,0.5,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.91
100013698,2025,الصناعة التحويلية,C1,,C10,,C1071,,159618318.0,161902994.0,30,11957925.0,24820524.0,21013395.0,1,medium,2009,الجيزة خدمات ذ.م.م,17,0.024012992027485414,-0.09090909090909094,13.539388648114116,0.9166666666666666,0.3333333333333333,0.5,0.20833333333333334,0.7083333333333334,0.8333333333333334,0.2916666666666667,class,12,6.35
100116684,2021,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,58923787.0,60845742.0,62,3936414.0,8249330.0,6308760.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,3,,,15.457150086347625,0.7142857142857143,0.5,0.8392857142857143,0.5,0.19642857142857142,0.2857142857142857,0.4107142857142857,class,28,4.82
100116684,2022,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,62315680.0,57213052.0,57,3936414.0,8724195.0,7115248.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,4,0.05756407000792407,-0.08064516129032262,14.534307621098797,0.65625,0.875,0.8125,0.09375,0.296875,0.21875,0.421875,class,32,4.99
100116684,2023,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,64851484.0,65061615.0,59,3936414.0,9079208.0,9272781.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,5,0.04069287216315387,0.03508771929824572,16.528143381260204,0.696969696969697,0.5757575757575758,0.8181818181818182,0.8787878787878788,0.3181818181818182,0.21212121212121213,0.42424242424242425,class,33,5.35
100116684,2024,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,66049188.0,70894469.0,65,3936414.0,9246886.0,8473840.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,6,0.018468413151501606,0.10169491525423724,18.009911813137542,0.7058823529411765,0.35294117647058826,0.8823529411764706,0.9117647058823529,0.36764705882352944,0.2647058823529412,0.4264705882352941,class,34,5.13
100116684,2025,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,65123452.0,61161474.0,65,3936414.0,9117283.0,8235227.0,1,medium,2019,حورس لوجستيات ش.ذ.م.م,7,-0.014015857394037878,0.0,15.537358113247235,0.7058823529411765,0.2647058823529412,0.8529411764705882,0.4411764705882353,0.36764705882352944,0.23529411764705882,0.4264705882352941,class,34,4.28
100149975,2021,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,3907612.0,3648896.0,10,564733.0,547066.0,405536.0,1,small,2017,اللوتس كيماويات ش.م.م,5,,,6.461276390789984,0.023809523809523808,0.5,0.42857142857142855,0.5,0.32142857142857145,0.16666666666666666,0.47619047619047616,class,42,3.59
100149975,2022,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5540669.0,5923425.0,10,564733.0,775694.0,684197.0,1,small,2017,اللوتس كيماويات ش.م.م,6,0.4179168760869809,0.0,10.488894752033262,0.0625,0.22916666666666666,0.4479166666666667,0.46875,0.40625,0.22916666666666666,0.46875,class,48,3.23
100149975,2023,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5502616.0,5719916.0,11,564733.0,770366.0,764236.0,1,small,2017,اللوتس كيماويات ش.م.م,7,-0.006867943203248572,0.10000000000000009,10.128531536141859,0.0392156862745098,0.17647058823529413,0.5196078431372549,0.7647058823529411,0.4411764705882353,0.21568627450980393,0.46078431372549017,class,51,3.53
100149975,2024,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5625891.0,5543976.0,10,564733.0,787625.0,637413.0,1,small,2017,اللوتس كيماويات ش.م.م,8,0.022402980691365704,-0.09090909090909094,9.81698608014761,0.03773584905660377,0.33962264150943394,0.3867924528301887,0.09433962264150944,0.46226415094339623,0.22641509433962265,0.4528301886792453,class,53,2.9
100149975,2025,أنشطة الإقامة وخدمات الطعام,I5,,I55,,I5590,,5785495.0,5509771.0,12,564733.0,809969.0,651229.0,1,small,2017,اللوتس كيماويات ش.م.م,9,0.028369550707612268,0.19999999999999996,9.756417634528175,0.038461538461538464,0.4423076923076923,0.5673076923076923,0.9903846153846154,0.46153846153846156,0.19230769230769232,0.4519230769230769,class,52,4.35
100233326,2021,أنشطة الإقامة وخدمات الطعام,I5,,I56,,I5610,,49913053.0,49111628.0,81,4338080.0,6987827.0,6852005.0,1,small,2011,اللوتس لوجستيات ش.ذ.م.م,11,,,11.321051709512043,0.625,0.5,1.0,0.5,0.65625,0.3333333333333333,0.3854166666666667,class,48,5.44
100233326,2022,أنشطة الإقامة وخدمات الطعام,I5,,I56,,I5610,,74956690.0,67744029.0,83,4338080.0,10493937.0,11324668.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,12,0.5017452448761248,0.024691358024691468,15.616131791022756,0.62,0.68,0.96,0.68,0.67,0.32,0.38,class,50,5.94
100233326,2023,أنشطة الإقامة وخدمات الطعام,I5,,I56,,I5610,,79023170.0,84809623.0,81,4338080.0,11063244.0,10809493.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,13,0.05425106151298831,-0.02409638554216864,19.55003665215948,0.6470588235294118,0.7058823529411765,0.9705882352941176,0.13725490196078433,0.6764705882352942,0.37254901960784315,0.38235294117647056,class,51,5.47
100233326,2024,أنشطة الإقامة وخدمات الطعام,I5,,I56,,I5610,,88106543.0,82480016.0,86,4338080.0,12334916.0,11517936.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,14,0.11494569251018394,0.06172839506172845,19.013023272968688,0.6274509803921569,0.8823529411764706,1.0,0.7843137254901961,0.6764705882352942,0.39215686274509803,0.38235294117647056,class,51,6.64
100233326,2025,أنشطة الإقامة وخدمات الطعام,I5,,I56,,I5610,,88742875.0,89009101.0,84,4338080.0,12424003.0,11259039.0,1,medium,2011,اللوتس لوجستيات ش.ذ.م.م,15,0.007222301299461886,-0.023255813953488413,20.518086572861726,0.6470588235294118,0.29411764705882354,0.9803921568627451,0.23529411764705882,0.6764705882352942,0.39215686274509803,0.38235294117647056,class,51,4.81
100271416,2021,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,51470230.0,46623959.0,11,2335102.0,7205832.0,6543917.0,1,small,2011,النيل أغذية ذ.م.م,11,,,19.966562060244048,0.6071428571428571,0.5,0.5714285714285714,0.5,0.5892857142857143,0.42857142857142855,0.4107142857142857,class,28,5.03
100271416,2022,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,52322573.0,49736330.0,10,2335102.0,7325160.0,7950001.0,1,small,2011,النيل أغذية ذ.م.م,12,0.016559922114200765,-0.09090909090909094,21.299425035822846,0.59375,0.4375,0.453125,0.0625,0.640625,0.34375,0.421875,class,32,4.1
100271416,2023,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,49786658.0,48493745.0,10,2335102.0,6970132.0,7612941.0,1,small,2011,النيل أغذية ذ.م.م,13,-0.048466939880804416,0.0,20.767291964119767,0.5454545454545454,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.6515151515151515,0.36363636363636365,0.42424242424242425,class,33,3.79
100271416,2024,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,52841787.0,56908547.0,11,2335102.0,7397850.0,5966407.0,1,medium,2011,النيل أغذية ذ.م.م,14,0.06136441212824528,0.10000000000000009,24.37090414037588,0.6176470588235294,0.7647058823529411,0.5735294117647058,0.8529411764705882,0.6617647058823529,0.4117647058823529,0.4264705882352941,class,34,6.09
100271416,2025,الأنشطة المهنية والعلمية والتقنية,M7,,M71,,M7120,,53986770.0,49340857.0,11,2335102.0,7558148.0,8225633.0,1,small,2011,النيل أغذية ذ.م.م,15,0.02166813548527413,0.0,21.130064982172087,0.6176470588235294,0.5294117647058824,0.5588235294117647,0.4411764705882353,0.6617647058823529,0.3235294117647059,0.4264705882352941,class,34,4.87
100400180,2022,الصناعة التحويلية,C1,,C15,,C1512,,27303159.0,25202074.0,10,1403794.0,3822442.0,3081348.0,8,small,2022,النيل لوجستيات ش.م.م,1,,,17.95282926127338,0.2966386554621849,0.5004201680672269,0.39327731092436974,0.453781512605042,0.030252100840336135,0.7168067226890756,0.954201680672269,sector,1190,4.77
100400180,2023,الصناعة التحويلية,C1,,C15,,C1512,,25748073.0,26057151.0,10,1403794.0,3604730.0,3172347.0,8,small,2022,النيل لوجستيات ش.م.م,2,-0.05695626648916341,0.0,18.5619478356511,0.28559870550161814,0.2766990291262136,0.3859223300970874,0.4393203883495146,0.07281553398058252,0.7378640776699029,0.9538834951456311,sector,1236,4.56
